ID,작물명,생육적온_최저(℃),생육적온_최고(℃),한계생육온도(℃),적정습도(%),토양pH_최저,토양pH_최고,일량조건,재배난이도(1-5),수익성(1-5),국내시장성(1-5),주요경쟁력_및_특징
19,자부티카바,15,30,-3,70,5.5,6.5,양지,3,4,3,"특이한 결실 형태, 관상용/체험농장 적합"
20,피타야(노란용과),18,30,2,50,5.5,7.0,양지,3,5,4,"일반 용과 대비 단가 높음, 고당도"
21,노니,20,32,5,75,5.0,7.0,양지,2,3,3,"건강기능식품 가공용, 특유의 향"
22,블랙사포테,18,30,0,60,6.0,7.0,양지,3,4,3,"초콜릿 맛 과일, SNS/이색과일 홍보 우수"
23,화이트사포테,15,28,-3,55,6.0,7.0,양지,2,4,3,"아열대 적응력 좋음, 내한성 양호"
24,살락,22,32,10,75,5.5,6.5,반음지,4,3,2,"야자과 가시 식물, 희귀성 높음"
25,마르멜로(퀸스),10,25,-15,55,6.0,7.5,양지,1,3,3,"내한성 극상, 잼/청 가공 특화"
26,산수유가공용 무화과,15,28,-5,60,6.0,7.0,양지,2,3,3,"희소 품종, 가공 기능성"
27,카람볼라 바이올렛,20,32,5,65,5.5,6.5,양지,3,4,3,"자색 변이종, 희귀 시각적 가치"
28,플룸코트,12,25,-15,55,6.0,7.0,양지,2,4,4,"자두+살구 교잡종, 국내 노지재배 확산 중"
29,핑거라임,18,28,-2,60,5.5,6.5,양지,4,5,5,"시트러스 캐비어, 고급 레스토랑 고가 납품"
30,부다스핸드,15,28,0,60,5.5,6.5,양지,2,4,3,"관상용/향료용, 관상수 판매 가치"
31,오크라,20,35,10,60,6.0,7.5,양지,1,3,4,"에스닉 푸드 식재료, 재배 매우 용이"
32,공심채,22,35,10,80,5.5,7.0,양지,1,3,4,"생장 속도 매우 빠름, 다회 수확 가능"
33,여주,20,32,5,60,6.0,7.0,양지,1,3,4,"건강즙/건조차 시장 정착, 재배 쉬움"
34,차요테,15,25,0,65,5.5,6.5,양지,2,4,4,"다수확성 덩굴작물, 다용도 채소"
35,아티초크,12,24,-5,60,6.0,7.5,양지,3,4,4,"고급 서양 채소, 제주/남부 노지 월동 가능"
36,카사바,20,32,5,60,5.5,6.5,양지,2,3,3,"구황작물, 구근 수확량 많음"
37,얌(대마),20,30,5,65,5.5,6.5,양지,3,3,3,"열대성 마, 탄수화물 원료"
38,타로,20,32,5,75,5.5,6.5,양지,2,3,4,디저트 원료 시장 형성
39,자색마,18,30,0,65,5.5,6.5,양지,3,4,3,자색 천연 색소 및 건강 기능성
40,아라카차,15,22,0,60,5.5,6.5,양지,4,3,2,"고산지 아열대 작물, 특이 향미"
41,제이콘(야콘),15,25,-2,60,5.5,6.5,양지,1,3,3,당뇨/다이어트용 올리고당 풍부
42,줄기상추(궁채),12,22,-2,60,6.0,7.0,양지,2,4,5,"식당 밑반찬 수요 폭발, 높은 시장성"
43,골든비트,12,22,-3,60,6.0,7.5,양지,1,3,3,"색상 희소성, 샐러드용"
44,로마네스코,13,22,-3,65,6.0,7.0,양지,3,4,4,"기하학적 고급 비주얼, 호텔/양식당 납품"
45,아스파라거스 콩,20,32,8,60,5.5,6.5,양지,1,3,3,"긴 꼬투리, 다수확 채소"
46,윙드빈(사각콩),20,32,8,65,5.5,6.5,양지,2,4,3,"단백질 함량 높음, 전초 식용 가능"
47,워터체스트넛,18,30,2,85,6.0,7.5,양지,3,3,3,"수생 채소, 중식 식재료 수요"
48,고수,12,22,-2,55,6.0,7.0,양지,1,3,4,동남아 음식 인기 증가로 수요 지속 확대
49,레몬그라스,18,30,0,65,5.5,6.5,양지,2,4,4,허브차 및 똠얌꿍 필수 향신료
50,갈랑갈,20,32,5,70,5.5,6.5,양지,3,4,3,"동남아 특수 생강, 수입 대체 가능성"
51,타이바질,18,30,5,60,6.0,7.0,양지,1,3,4,쌀국수/태국요리 필수 허브
52,커리잎,20,32,5,65,5.5,6.5,양지,3,4,3,인도 요리 전문점 타겟 희소 채소
53,몰로키아,20,35,8,65,6.0,7.0,양지,1,4,3,"영양가 높음, 엽채류 재배 쉬움"
54,아이스플랜트,15,25,-2,50,6.0,8.0,양지,3,4,4,"천연 염분 채소, 혈당 조절 기능성"
55,핑거루트,20,32,5,70,5.5,6.5,양지,3,4,3,다이어트 건강기능식품 원료
56,강황,20,32,2,70,5.5,6.5,양지,2,4,4,"커큐민 성분, 건강식품 시장 정착"
57,차조기(자소엽),15,25,-2,60,6.0,7.0,양지,1,3,3,한방 및 일식 식재료
58,파카야,22,32,10,75,6.0,7.0,반음지,4,3,1,"중남미 특수 채소, 희소성 극상"
59,스네이크고드,20,32,8,65,6.0,7.0,양지,2,3,2,관상 및 식용 뱀오이
60,비터토마토,20,32,5,60,5.5,6.5,양지,2,3,2,아프리카 에스닉 식재료
61,퀴노아,10,22,-4,50,6.0,8.5,양지,2,3,4,"고단백 슈퍼푸드, 건조 기후 적응"
62,아마란스,15,28,-2,50,5.5,7.5,양지,1,3,3,"척박지 잘 자람, 영양 곡물"
63,테프,15,28,0,50,5.5,7.0,양지,2,3,2,글루텐프리 고대 곡물
64,카카오,22,32,12,80,6.0,7.0,반음지,5,5,3,"초콜릿 원료, 고온고습 시설 필요"
65,커피나무,15,25,0,65,5.5,6.5,반음지,3,4,4,체험형 농장 및 국내산 원두 희소성
66,바닐라,20,30,8,75,5.5,6.5,반음지,5,5,5,"세계적인 고가 향신료, 인공수분 필수"
67,블랙페퍼(후추),22,32,10,75,5.5,6.5,반음지,4,5,4,덩굴성 고급 향신료
68,육두구,22,32,10,80,5.5,6.5,반음지,5,4,3,결실까지 장기간 소요
69,정향,22,32,10,75,6.0,7.0,양지,5,4,3,"꽃봉오리 향신료, 열대 기후"
70,육계(계피),20,30,5,70,5.5,6.5,양지,4,4,3,"수피 활용, 장기 재배 작물"
71,사프란,10,20,-10,50,6.0,8.0,양지,4,5,5,"세계 최고가 향신료, 노지 월동 가능"
72,카다멈,18,28,8,75,5.5,6.5,반음지,4,5,3,"고급 향신료, 음지 적응력"
73,올스파이스,20,30,5,70,6.0,7.0,양지,4,4,3,복합 향신료 열매
74,과라나,22,32,10,80,5.5,6.5,양지,4,4,3,천연 카페인 음료 원료
75,마카,5,18,-10,60,6.0,7.5,양지,4,4,4,"고산지 작물, 서늘한 기후 요구"
76,사차인치,20,30,5,65,5.5,6.5,양지,2,4,3,"오메가3 견과류, 덩굴 재배"
77,브라질넛,22,32,10,80,5.5,6.5,양지,5,4,3,"거목 형성, 수확 주기가 김"
78,캐슈넛,22,35,7,60,5.5,6.5,양지,3,4,3,캐슈사과 및 견과 동시 활용
79,마카다미아,15,28,-2,60,5.5,6.5,양지,3,4,4,"고급 견과, 아열대 지역 적응"
80,사탕수수,20,35,5,70,6.0,7.5,양지,1,3,3,체험용 생즙 판매 및 속성수
81,스테비아,15,28,-3,60,6.0,7.0,양지,1,4,4,"천연 대체 당류, 다년생 허브"
82,모링가,20,35,3,50,5.5,7.0,양지,1,4,4,"성장 속도 매우 빠름, 영양 엽채/분말"
83,아사이베리,22,32,10,80,5.5,6.5,양지,5,4,4,"야자과 과수, 항산화 브랜딩"
84,마키베리,12,22,-8,60,5.5,6.5,양지,3,4,3,"냉대/아열대 적응, 항산화 베리"
85,카무카무,22,32,8,80,5.5,6.5,양지,4,4,3,비타민C 극대화 과실
86,인디안구스베리(암라),18,30,0,60,5.5,7.5,양지,3,4,3,아유르베다 약용 과일
87,고투콜라(병풀),18,30,0,75,6.0,7.0,반음지,1,4,5,"화장품(시카) 원료, 수요 매우 높음"
88,홀리바질,18,30,5,60,6.0,7.0,양지,1,3,3,허브차 및 차류 시장
89,버터플라이피,20,32,5,65,5.5,6.5,양지,1,4,4,"파란색 천연 침출차, 인스타드링크 인기"
90,히비스커스(로젤),18,32,2,60,5.5,6.5,양지,1,4,4,"다이어트 차 원료, 꽃받침 수확"
91,카바카바,20,30,8,75,5.5,6.5,반음지,4,3,2,진정 효과 약용 뿌리
92,크라통,22,32,10,80,5.5,6.5,양지,4,2,1,규제 요선 확인 필요 작물
93,판단,20,32,8,75,5.5,6.5,반음지,2,4,4,동남아 디저트 핵심 향료 잎
94,피멘토,18,30,2,60,6.0,7.0,양지,2,3,2,특수 파프리카/고추류
95,하바네로,18,32,2,60,6.0,7.0,양지,2,4,4,"매운 소스 원료, 다수확"
96,캐롤라이나 리퍼,18,32,2,60,6.0,7.0,양지,2,5,4,극강 매운맛 챌린지 및 특수 소스용
97,차요테 덩굴 싹,15,25,0,65,5.5,6.5,양지,2,3,3,고급 동남아 채소 볶음용
98,스피룰리나,25,38,15,100,8.5,11.0,양지,4,4,3,알칼리성 배양 미세조류
99,기네아생강,20,32,8,70,5.5,6.5,반음지,4,4,2,희귀 향신료 천국의 곡식
100,타마린드,20,35,3,60,5.5,7.5,양지,3,4,4,동남아/중동 소스 필수 가공 원료
